Parcel Number,Property Status,Inventory Type
0001F00100000002,Hold for Study,Hold For Study
0001N00210000001,Hold for Study,Hold For Study
0001N00219000000,Hold for Study,Hold For Study
0001P00400000000,Hold for Study,Hold For Study
0002D00368000000,Hold for Study,Hold For Study
0002D00371000000,Hold for Study,Hold For Study
0002H00284000000,Hold for Study,Hold For Study
0002H00285000000,Hold for Study,Hold For Study
0002H00287000000,Hold for Study,Hold For Study
0002K00002000000,Hold for Study,Hold For Study
0003E00016000000,Hold for Study,Hold For Study
0003E00032000000,Hold for Study,Hold For Study
0003E00040000000,Hold for Study,Hold For Study
0003H00015000000,Hold for Study,Hold For Study
0003J00011000000,Hold for Study,Hold For Study
0003J00017000000,Hold for Study,Hold For Study
0003J00019000000,Hold for Study,Hold For Study
0003J00021000000,Hold for Study,Hold For Study
0003J00022000000,Hold for Study,Hold For Study
0003J00024000000,Hold for Study,Hold For Study
0003J00025000000,Hold for Study,Hold For Study
0003J00026000000,Hold for Study,Hold For Study
0003J00027000000,Hold for Study,Hold For Study
0003J00029000000,Hold for Study,Hold For Study
0003J00030000000,Hold for Study,Hold For Study
0003J00033000000,Hold for Study,Hold For Study
0003K00009000000,Hold for Study,Hold For Study
0003K00098000000,Hold for Study,Hold For Study
0003K00099000000,Hold for Study,Hold For Study
0003K00100000000,Hold for Study,Hold For Study
0003K00106000000,Hold for Study,Hold For Study
0003K00107000000,Hold for Study,Hold For Study
0003K00109000000,Hold for Study,Hold For Study
0003K00110000000,Hold for Study,Hold For Study
0003K00113000000,Hold for Study,Hold For Study
0003K00114000000,Hold for Study,Hold For Study
0003K00115000000,Hold for Study,Hold For Study
0003K00117000000,Hold for Study,Hold For Study
0003K00119000000,Hold for Study,Hold For Study
0003K00120000000,Hold for Study,Hold For Study
0003K00136000000,Hold for Study,Hold For Study
0003K00139000A00,Hold for Study,Hold For Study
0003K00140000000,Hold for Study,Hold For Study
0003K00141000000,Hold for Study,Hold For Study
0003K00142000000,Hold for Study,Hold For Study
0003K00143000000,Hold for Study,Hold For Study
0003K00145000000,Hold for Study,Hold For Study
0003K00146000000,Hold for Study,Hold For Study
0003K00234000001,Hold for Study,Hold For Study
0003L00239000000,Hold for Study,Hold For Study
0003L00400000000,Hold for Study,Hold For Study
0003N00171000000,Available for Sale,URA Transfer
0003P00050000000,Hold for Study,Hold For Study
0003P00051000000,Hold for Study,Hold For Study
0003P00054000000,Hold for Study,Hold For Study
0003P00056000000,Hold for Study,Hold For Study
0003P00085000000,Hold for Study,Hold For Study
0003R00003000000,Hold for Study,Hold For Study
0003R00008000000,Hold for Study,Hold For Study
0003R00010000000,Hold for Study,Hold For Study
0003R00031000000,Hold for Study,Hold For Study
0003R00031000A00,Hold for Study,Hold For Study
0003R00032000000,Hold for Study,Hold For Study
0003R00035000000,Hold for Study,Hold For Study
0003R00037000000,Hold for Study,Hold For Study
0003R00038000000,Hold for Study,Hold For Study
0003R00039000000,Hold for Study,Hold For Study
0003R00041000000,Hold for Study,Hold For Study
0003R00043000000,Hold for Study,Hold For Study
0003R00044000000,Hold for Study,Hold For Study
0003R00045000000,Hold for Study,Hold For Study
0003R00048000000,Hold for Study,Hold For Study
0003R00050000000,Hold for Study,Hold For Study
0003R00051000000,Hold for Study,Hold For Study
0003R00052000000,Hold for Study,Hold For Study
0003R00100000000,Hold for Study,Hold For Study
0003R00147000000,Hold for Study,Hold For Study
0003R00148000000,Hold for Study,Hold For Study
0003R00149000000,Hold for Study,Hold For Study
0003R00169000000,Hold for Study,Hold For Study
0003R00178000000,Hold for Study,Hold For Study
0003R00192000000,Hold for Study,Hold For Study
0003R00193000000,Hold for Study,Hold For Study
0003R00194000000,Hold for Study,Hold For Study
0003R00197000000,Hold for Study,Hold For Study
0003R00205000000,Hold for Study,Hold For Study
0003R00231000000,Hold for Study,Hold For Study
0003R00238000000,Hold for Study,Hold For Study
0003R00241000000,Hold for Study,Hold For Study
0003R00247000000,Hold for Study,Hold For Study
0003R00262000000,Hold for Study,Hold For Study
0003R00263000000,Hold for Study,Hold For Study
0003R00293000000,Hold for Study,Hold For Study
0004A00245000000,Hold for Study,Hold For Study
0004C00100000000,Hold for Study,Hold For Study
0004D00030000000,Hold for Study,Hold For Study
0004E00057000000,Hold for Study,Hold For Study
0004G00254000000,Hold for Study,Hold For Study
0004G00256000000,Hold for Study,Hold For Study
0004G00295000001,Hold for Study,Hold For Study
0004G00300000000,Hold for Study,Hold For Study
0004H00150000000,Hold for Study,Hold For Study
0004H00199000000,Hold for Study,Hold For Study
0004H00226000000,Hold for Study,Hold For Study
0004H00227000000,Hold for Study,Hold For Study
0004H00228000000,Hold for Study,Hold For Study
0004H00231000000,Hold for Study,Hold For Study
0004J00002000000,Hold for Study,Hold for Study
0004J00004000000,Hold for Study,Hold For Study
0004J00010000000,Hold for Study,Hold For Study
0004J00013000000,Hold for Study,Hold For Study
0004J00015000000,Hold for Study,Hold For Study
0004J00019000000,Hold for Study,Hold For Study
0004J00021000000,Hold for Study,Hold For Study
0004J00031000000,Hold for Study,Hold For Study
0004J00035000000,Hold for Study,Hold For Study
0004J00066000000,Hold for Study,Hold for Study
0004L00102000000,Available for Sale,Public Sale
0004M00244000000,Hold for Study,Hold For Study
0004M00250000000,Hold for Study,Hold For Study
0004N00151000000,Hold for Study,Hold for Study
0004N00157000000,Hold for Study,Hold For Study
0004N00159000000,Hold for Study,Hold For Study
0004N00163000000,Hold for Study,Hold For Study
0004N00164000000,Hold for Study,Hold For Study
0004N00165000000,Hold for Study,Hold For Study
0004N00185000000,Hold for Study,Hold For Study
0004P00101000000,Available for Sale,Public Sale
0004P00178000000,Available for Sale,Public Sale
0004R00135000000,Available for Sale,Public Sale
0004R00144000A00,Available for Sale,Public Sale
0004R00145000000,Available for Sale,Public Sale
0005B00028000000,Hold for Study,Hold For Study
0005C00221000000,Hold for Study,Hold For Study
0005C00232000000,Hold for Study,Hold For Study
0005C00275000000,Hold for Study,Hold For Study
0005C00310000000,Hold for Study,Hold For Study
0005D00217000000,Hold for Study,Hold for Study
0005E00010000000,Hold for Study,Hold For Study
0005G00113000000,Hold for Study,Hold For Study
0005G00144000000,Hold for Study,Hold For Study
0005G00146000000,Hold for Study,Hold For Study
0005G00147000001,Hold for Study,Hold For Study
0005G00150000000,Hold for Study,Hold For Study
0005G00265000000,Hold for Study,Hold For Study
0005G00285000000,Available for Sale,Public Sale
0005G00286000000,Hold for Study,Hold for Study
0005G00289000000,Hold for Study,Hold for Study
0005M00020000000,Hold for Study,Hold For Study
0005S00097000000,Hold for Study,Hold For Study
0006A00002000000,Hold for Study,Hold For Study
0006A00003000000,Hold for Study,Hold For Study
0006A00004000000,Hold for Study,Hold For Study
0006A00006000000,Hold for Study,Hold For Study
0006A00012000000,Available for Sale,Public Sale
0006A00024000000,Available for Sale,Public Sale
0006A00344000000,Hold for Study,Hold For Study
0006A00345000000,Hold for Study,Hold For Study
0006B00060000000,Hold for Study,Hold For Study
0006B00400000000,Hold for Study,Hold For Study
0006E00099000000,Hold for Study,Hold For Study
0006F00021000000,Hold for Study,Hold For Study
0006G00058000000,Hold for Study,Hold for Study
0006J00005000000,Hold for Study,Hold For Study
0006L00035000000,Available for Sale,Public Sale
0006L00204000A00,Available for Sale,Public Sale
0006L00302000000,Available for Sale,Public Sale
0006L00303000000,Available for Sale,Public Sale
0006P00028000000,Hold for Study,Hold For Study
0006P00029000000,Hold for Study,Hold For Study
0006P00036000000,Hold for Study,Hold For Study
0006P00037000000,Hold for Study,Hold For Study
0006P00042000000,Hold for Study,Hold For Study
0006P00047000000,Hold for Study,Hold For Study
0006P00049000000,Hold for Study,Hold For Study
0006P00052000000,Hold for Study,Hold For Study
0006P00053000000,Hold for Study,Hold For Study
0006P00054000000,Hold for Study,Hold For Study
0006P00055000000,Hold for Study,Hold For Study
0006P00179000000,Hold for Study,Hold For Study
0006P00200000001,Hold for Study,Hold For Study
0006R00128000000,Available for Sale,Public Sale
0006R00218000000,Available for Sale,Public Sale
0006R00220000000,Available for Sale,Public Sale
0007B00320000000,Hold for Study,Hold for Study
0007J00004000000,Hold for Study,Hold For Study
0007J00010000000,Hold for Study,Hold For Study
0007J00012000000,Hold for Study,Hold For Study
0007J00014000000,Hold for Study,Hold For Study
0007J00015000000,Hold for Study,Hold For Study
0007J00022000000,Hold for Study,Hold For Study
0007J00024000000,Hold for Study,Hold For Study
0007J00026000000,Hold for Study,Hold For Study
0007J00028000000,Hold for Study,Hold For Study
0007J00030000000,Hold for Study,Hold For Study
0007J00036000000,Hold for Study,Hold For Study
0007N00056000000,Hold for Study,Hold For Study
0007N00070000000,Hold for Study,Hold for Study
0007N00071000000,Hold for Study,Hold For Study
0007N00073000000,Hold for Study,Hold For Study
0007N00076000000,Hold for Study,Hold For Study
0007N00078000000,Hold for Study,Hold For Study
0007N00079000000,Hold for Study,Hold For Study
0007N00089000000,Available for Sale,Public Sale
0007N00090000000,Available for Sale,Public Sale
0007N00092000000,Hold for Study,Hold For Study
0007N00094000000,Hold for Study,Hold For Study
0007N00096000000,Hold for Study,Hold For Study
0007N00097000000,Hold for Study,Hold For Study
0007N00099000000,Hold for Study,Hold For Study
0007N00101000000,Hold for Study,Hold For Study
0007N00103000000,Hold for Study,Hold For Study
0007N00106000000,Hold for Study,Hold For Study
0007N00107000000,Hold for Study,Hold For Study
0007N00110000000,Hold for Study,Hold For Study
0007N00113000000,Hold for Study,Hold For Study
0007N00116000000,Hold for Study,Hold For Study
0007N00119000000,Hold for Study,Hold For Study
0007N00122000000,Hold for Study,Hold For Study
