Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address1
0002-D-00300-0000-00,Vacant Land,Hold for Study,URA Owned,RP,1800 CENTRE AVE
0003-B-00100-0000-00,Surface Parking Lot,Hold for Study,URA Owned,RIV-IMU,0 S 6TH ST
0003-C-00182-0000-00,Vacant Land,Hold for Study,URA Owned,RIV-IMU,0 S 8TH ST
0007-E-00030-0000-00,Vacant Structure,Disposition in Process,URA Owned,RIV-IMU,801 KROLL DR
0007-F-00002-0000-00,Vacant Land,Disposition in Process,URA Owned,RIV-IMU,829 BEAVER AVE
0009-M-00095-0000-00,Vacant Land,Hold from Market,URA Owned,RM-M,0 CLIFF ST
0009-M-00097-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 CLIFF ST
0009-S-00097-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,RP,0 ROBERTS ST
0009-S-00101-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,RP,0 ROBERTS ST
0009-S-00181-0000-00,Vacant Land,Disposition in Process,URA Owned,RP,0 HILLSIDE DR
0009-S-00200-0000-00,Vacant Structure,Hold for Study,URA Owned,RP,1843 WEBSTER AVE
0010-J-00260-0000-00,Vacant Land,Disposition in Process,URA Owned,RP,0 ERIN ST
0010-J-00343-0000-00,Vacant Land,Hold for Study,URA Owned,LNC,0 BEDFORD AVE
0010-J-00344-0000-00,Vacant Land,Hold for Study,URA Owned,LNC,0 BEDFORD AVE
0010-K-00001-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 MAHON ST
0010-K-00002-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 MAHON ST
0010-K-00003-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 MAHON ST
0010-K-00004-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 CENTRE AVE
0010-K-00005-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 HALLETT ST
0010-K-00006-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 CENTRE AVE
0010-K-00007-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 CENTRE AVE
0010-K-00008-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 HALLETT ST
0010-K-00009-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 HALLETT ST
0010-K-00010-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 HALLETT ST
0010-K-00011-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 HALLETT ST
0010-K-00012-0000-00,Vacant Land,Exclusive Negotiations,URA Owned,LNC,0 HALLETT ST
0010-N-00074-0000-00,Vacant Land,Disposition in Process,URA Owned,RP,0 DEVILLIERS ST
0010-N-00076-0000-00,Vacant Land,Disposition in Process,URA Owned,RP,0 DEVILLIERS ST
0010-N-00078-0000-00,Vacant Land,Disposition in Process,URA Owned,RP,0 DEVILLIERS ST
0010-N-00080-0000-00,Vacant Land,Disposition in Process,URA Owned,RP,0 DEVILLIERS ST
0010-N-00255-0000-00,Vacant Land,Disposition in Process,URA Owned,LNC,0 CENTRE AVE
0010-N-00257-0000-00,Vacant Land,Disposition in Process,URA Owned,LNC,0 WYLIE AVE
0010-N-00258-0000-00,Vacant Land,Disposition in Process,URA Owned,LNC,0 WYLIE AVE
0010-N-00258-000A-00,Vacant Land,Disposition in Process,URA Owned,LNC,0 WYLIE AVE
0010-N-00267-0000-00,Vacant Land,Sold - Redevelopment in Progress,Privately Owned,LNC,2023-2035 CENTRE AVE
0010-N-00268-0000-00,Vacant Land,Sold - Redevelopment in Progress,Privately Owned,LNC,2023-2035 CENTRE AVE
0010-N-00269-0000-00,Vacant Land,Sold - Redevelopment in Progress,Privately Owned,LNC,2023-2035 CENTRE AVE
0010-N-00270-0000-00,Vacant Land,Sold - Redevelopment in Progress,Privately Owned,LNC,2023-2035 CENTRE AVE
0010-N-00274-0000-00,Vacant Land,Sold - Redevelopment in Progress,Privately Owned,LNC,2023-2035 CENTRE AVE
0010-N-00275-0000-00,Vacant Land,Sold - Redevelopment in Progress,Privately Owned,LNC,2023-2035 CENTRE AVE
0010-N-00276-0000-00,Vacant Land,Sold - Redevelopment in Progress,Privately Owned,LNC,2023-2035 WYLIE AVE
0010-N-00278-0000-00,Vacant Land,Sold - Redevelopment in Progress,Privately Owned,LNC,2023-2035 CENTRE AVE
